location,name
moscow,Москва
spb,Санкт-Петербург
novosibirsk,Новосибирск
ekaterinburg,Екатеринбург
kazan,Казань
nizhny-novgorod,Нижний Новгород
chelyabinsk,Челябинск
samara,Самара
omsk,Омск
rostov-na-donu, Ростов-на-Дону
ufa,Уфа
krasnoyarsk,Красноярск
